번호                                                                                                                                       (01.6월 기준),주소
0,null
1,서울특별시 종로구 사직로 경복궁역 4번출구
2,서울특별시 종로구 사직로 경복궁역 4번출구
3,서울특별시 종로구 자하문로 자하문로 8
4,서울특별시 종로구 자하문로 자하문로 8
5,서울특별시 종로구 자하문로 자하문로 44
6,서울특별시 종로구 자하문로 자하문로 44
7,서울특별시 종로구 자하문로 자하문로 68(효자동 정류소)
8,서울특별시 종로구 자하문로 자하문로 68(효자동 정류소)
9,서울특별시 종로구 효자로 청와대 분수대(사랑채)
10,서울특별시 종로구 효자로 청와대 분수대(사랑채)
11,서울특별시 종로구 자하문로 자하문로13-4앞
12,서울특별시 종로구 자하문로 자하문로13-4앞
13,서울특별시 종로구 율곡로 삼청로맞은편 인도
14,서울특별시 종로구 율곡로 삼청로맞은편 인도
15,서울특별시 종로구 자하문로 자하문로1길 6
16,서울특별시 종로구 자하문로 자하문로1길 1
17,서울특별시 종로구 자하문로 자하문로1길 50-1
18,서울특별시 종로구 자하문로 자하문로1길 34
19,서울특별시 종로구 자하문로 자하문로1길 49-4
20,서울특별시 종로구 자하문로 자하문로103-19
21,서울특별시 종로구 자하문로 자하문로1길 33
22,서울특별시 종로구 자하문로 자하문로1길 103-4
23,서울특별시 종로구 자하문로 자하문로1길 49-4
24,서울특별시 종로구 자하문로 자하문로1길 1
25,서울특별시 종로구 자하문로 자하문로1길 3-
26,서울특별시 종로구 자하문로 자하문로1길 5
27,서울특별시 종로구 자하문로 자하문로1길 3
28,서울특별시 종로구 자하문로 자하문로 13-
29,서울특별시 종로구 자하문로 자하문로 13-
30,서울특별시 종로구 자하문로 자하문로 8(경복궁 아트홀)
31,서울특별시 종로구 자하문로 자하문로 8(경복궁 아트홀)
32,서울특별시 종로구 필운대로6길 사직동 주민센터
33,서울특별시 종로구 필운대로6길 사직동 주민센터
34,서울특별시 종로구 새문안로 신문로가 흥국생명 뒷편
35,서울특별시 종로구 새문안로 신문로가 흥국생명 뒷편
36,서울특별시 종로구 새문안로 새문안로 8 에스타워
37,서울특별시 종로구 새문안로 새문안로 8 에스타워
38,서울특별시 종로구 세종대로 광화문 버스정류장(01-009)
39,서울특별시 종로구 세종대로 광화문 버스정류장(01-009)
40,서울특별시 종로구 청계천로 청계천입구
41,서울특별시 종로구 청계천로 청계천입구
42,서울특별시 종로구 종로 종로14 한국무역공사
43,서울특별시 종로구 종로 종로14 한국무역공사
44,서울특별시 종로구 종로 종로30-종로분식
45,서울특별시 종로구 종로 종로30-종로분식
46,서울특별시 종로구 종로 종로1가 버스정류장
47,서울특별시 종로구 종로 종로1가 버스정류장
48,서울특별시 종로구 종로 종로58 대한기독 서회
49,서울특별시 종로구 종로 종로59 대한기독 서회
50,서울특별시 종로구 종로 종로80
51,서울특별시 종로구 종로 종로80
52,서울특별시 종로구 종로 종로가 버스정류장(01-013)
53,서울특별시 종로구 종로 종로가 버스정류장(01-013)
54,서울특별시 종로구 삼일대로 삼일대로 버스정류장
55,서울특별시 종로구 삼일대로 삼일대로 버스정류장
56,서울특별시 종로구 종로 종로가 버스정류장(01-014)
57,서울특별시 종로구 종로 종로가 버스정류장(01-015)
58,서울특별시 종로구 종로 종로73
59,서울특별시 종로구 종로 종로74
60,서울특별시 종로구 종로 종로51
61,서울특별시 종로구 종로 종로51
62,서울특별시 종로구 종로 종각교차로
63,서울특별시 종로구 인사동길 인사동길51
64,서울특별시 종로구 인사동길 인사동길51
65,서울특별시 종로구 인사동길 인사동길1
66,서울특별시 종로구 인사동길 인사동길1
67,서울특별시 종로구 율곡로 율곡로46
68,서울특별시 종로구 율곡로 율곡로46
69,서울특별시 종로구 삼일대로 삼일대로467
70,서울특별시 종로구 삼일대로 삼일대로467
71,서울특별시 종로구 종로 종로1가 버스정류장(01-01)
72,서울특별시 종로구 종로 종로1가 버스정류장(01-01)
73,서울특별시 종로구 종로 광화문버스정류장(01-010)
74,서울특별시 종로구 종로 광화문버스정류장(01-010)
75,서울특별시 종로구 세종대로 광화문KT앞
76,서울특별시 종로구 세종대로 광화문KT앞
77,서울특별시 종로구 종로 종로1길55 열린마당
78,서울특별시 종로구 종로 종로1길55 열린마당
79,서울특별시 종로구 종로 종로5길 이마빌딩
80,서울특별시 종로구 종로 종로6길 이마빌딩
81,서울특별시 종로구 세종대로 세종대로14  세종로공원
82,서울특별시 종로구 세종대로 세종대로14  세종로공원
83,서울특별시 종로구 세종대로 세종대로175  세종문화회관
84,서울특별시 종로구 세종대로 세종대로176  세종문화회관
85,서울특별시 종로구 세종대로 광화문역7번출구
86,서울특별시 종로구 세종대로 광화문역7번출구
87,서울특별시 종로구 세종대로 광화문역8번출구
88,서울특별시 종로구 새문안로 신문로가 103-삼원약국
89,서울특별시 종로구 세종대로 신문로가 103- 삼원약국
90,서울특별시 종로구 새문안로 서울역사박물관 버스정류장(01-008)
91,서울특별시 종로구 새문안로 서울역사박물관 버스정류장(01-007)
92,서울특별시 종로구 통일로 통일로134
93,서울특별시 종로구 통일로 통일로134
94,서울특별시 종로구 사직로 사직동 주민센터
95,서울특별시 종로구 사직로 사직동 주민센터
96,서울특별시 종로구 사직로 경복궁역 7번출구
97,서울특별시 종로구 사직로 경북궁역 7번출구
98,서울특별시 종로구 종로 종로 14(광화문우체국)
99,서울특별시 종로구 종로 종로 14(광화문우체국)
100,서울특별시 종로구 사직로 사직단 버스정류장(0118)
101,서울특별시 종로구 종로 종로 34
102,서울특별시 종로구 종로 종로 34
103,서울특별시 종로구 종로 종로 113
104,서울특별시 종로구 종로 종로 113
105,서울특별시 종로구 종로 종로가 YBM앞
106,서울특별시 종로구 종로 종로3가 YBM앞
